# First column: alcohol volume content (in %) in liquid
# Second column: temperature
# Third column: alcohol volume content (in %) in vapor
# TODO: fix this table so first column is a temperature increasing
1 99 9.9
2 98.2 17.7
3 97.4 25.3
4 96.6 31.4
5 95.9 35.8
6 95.2 39.1
7 94.5 42.7
8 93.9 45.6
9 93.3 48.5
10 92.6 51.0
11 92.1 53.6
12 91.5 55.9
13 91.1 57.6
14 90.6 59.9
15 90.2 61.6
20 88.3 66.3
30 85.7 69.3
40 84.1 72.0
50 82.8 75.0
55 82.3 76.6
60 81.8 78.2
65 81.2 80.0
70 80.8 81.9
75 80.4 84.2
80 79.9 86.5
85 79.5 89.1
90 79.0 91.8
91 78.8 92.6
92 78.6 93.3
93 78.5 93.8
94 78.4 94.5
95 78.3 95.4
96 78.2 96.2
97 78.185 97.1
97.2 78.17 97.2
