STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
SQ3H-17;V1010268;2024-02-10 00:59:40;52.5485;17.1506;324;9;195;Clb=-5.0m/s t=3.7C h=100.0% p=973.3hPa 405.100 MHz Type=RS41-SGP ser=V1010268 Radiosonde
SP3QBA-14;V1010268;2024-02-10 00:59:20;52.548;17.1508;360;20;255;Clb=-5.3m/s p=966.4hPa t=5.0C h=99.8% 405.10MHz Type=RS41-SGP batt=2.6V OG=103m dist=45.621 powerup=2h54m19s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:19;52.5479;17.1508;1;24;260;Clb=-5.4m/s p=965.9hPa t=5.5C h=99.1% 405.10MHz Type=RS41-SGP OG=108m dist=45.626 powerup=2h54m18s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:18;52.5479;17.1508;4;24;265;Clb=-5.0m/s p=965.2hPa t=6.0C h=97.6% 405.10MHz Type=RS41-SGP OG=114m dist=45.633 powerup=2h54m17s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:17;52.5478;17.1508;4;24;269;Clb=-5.2m/s p=964.7hPa t=6.3C h=96.9% 405.10MHz Type=RS41-SGP batt=2.7V OG=119m dist=45.639 powerup=2h54m16s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:16;52.5477;17.1507;6;26;274;Clb=-4.9m/s p=964.0hPa t=6.6C h=96.5% 405.10MHz Type=RS41-SGP OG=123m dist=45.645 powerup=2h54m15s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:15;52.5477;17.1507;11;24;279;Clb=-5.2m/s p=963.4hPa t=6.7C h=95.9% 405.10MHz Type=RS41-SGP OG=128m dist=45.651 powerup=2h54m14s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:14;52.5476;17.1507;13;24;284;Clb=-4.7m/s p=962.9hPa t=6.9C h=95.5% 405.10MHz Type=RS41-SGP batt=2.7V OG=133m dist=45.657 powerup=2h54m13s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:13;52.5475;17.1507;14;26;289;Clb=-5.2m/s p=962.2hPa t=7.1C h=95.1% 405.10MHz Type=RS41-SGP TxOff=7h51m OG=137m dist=45.663 powerup=2h54m12s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:12;52.5475;17.1507;18;26;294;Clb=-4.8m/s p=961.9hPa t=7.2C h=94.8% 405.10MHz Type=RS41-SGP OG=142m dist=45.668 powerup=2h54m11s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:11;52.5474;17.1506;19;28;299;Clb=-5.8m/s p=961.3hPa t=7.4C h=94.5% 405.10MHz Type=RS41-SGP batt=2.7V OG=147m dist=45.675 powerup=2h54m10s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:10;52.5474;17.1506;17;26;304;Clb=-4.8m/s p=960.7hPa t=7.4C h=94.5% 405.10MHz Type=RS41-SGP OG=152m dist=45.680 powerup=2h54m09s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:09;52.5473;17.1506;18;26;308;Clb=-4.4m/s p=960.0hPa t=7.5C h=94.7% 405.10MHz Type=RS41-SGP OG=156m dist=45.686 powerup=2h54m08s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:08;52.5472;17.1505;23;26;313;Clb=-4.2m/s p=959.5hPa t=7.5C h=94.5% 405.10MHz Type=RS41-SGP batt=2.7V OG=160m dist=45.691 powerup=2h54m07s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:07;52.5472;17.1505;26;26;317;Clb=-5.3m/s p=959.3hPa t=7.6C h=93.8% 405.10MHz Type=RS41-SGP OG=165m dist=45.697 powerup=2h54m06s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:06;52.5471;17.1504;31;26;322;Clb=-5.2m/s p=958.6hPa t=7.8C h=92.5% 405.10MHz Type=RS41-SGP OG=170m dist=45.702 powerup=2h54m05s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:05;52.5471;17.1504;30;28;327;Clb=-5.0m/s p=958.0hPa t=7.9C h=92.0% 405.10MHz Type=RS41-SGP TxOff=7h51m batt=2.7V OG=175m dist=45.707 powerup=2h54m04s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:04;52.547;17.1503;30;28;332;Clb=-4.8m/s p=957.4hPa t=7.9C h=92.1% 405.10MHz Type=RS41-SGP OG=180m dist=45.712 powerup=2h54m03s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:03;52.5469;17.1503;35;26;336;Clb=-4.3m/s p=957.0hPa t=7.9C h=91.6% 405.10MHz Type=RS41-SGP OG=185m dist=45.716 powerup=2h54m02s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:02;52.5469;17.1502;37;30;340;Clb=-4.6m/s p=956.6hPa t=8.0C h=90.8% 405.10MHz Type=RS41-SGP batt=2.7V OG=189m dist=45.721 powerup=2h54m01s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:01;52.5468;17.1501;41;30;345;Clb=-5.3m/s p=956.0hPa t=8.3C h=89.0% 405.10MHz Type=RS41-SGP OG=194m dist=45.725 powerup=2h54m00s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:59:00;52.5468;17.1501;40;30;350;Clb=-4.1m/s p=955.2hPa t=8.3C h=88.8% 405.10MHz Type=RS41-SGP OG=199m dist=45.729 powerup=2h53m59s rx=405100(+0/5)
SP3QBA-14;V1010268;2024-02-10 00:58:59;52.5467;17.15;41;30;354;Clb=-4.2m/s p=955.0hPa t=8.4C h=88.4% 405.10MHz Type=RS41-SGP batt=2.6V OG=203m dist=45.733 powerup=2h53m58s rx=405100(+0/5)
