STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
SP3WXH-11;V3731069;2024-06-10 08:05:21;53.1794;16.4326;80;11;242;Clb=-3.5m/s p=981.2hPa t=14.7C h=56.8% 405.10MHz Type=RS41-SGP OG=64m dist=18.860 rx=405104(-3/3) powerup=3h47m26s
SP3WXH-11;V3731069;2024-06-10 08:05:19;53.1794;16.4325;68;11;249;Clb=-3.1m/s p=980.2hPa t=14.5C h=56.8% 405.10MHz Type=RS41-SGP OG=71m dist=18.866 rx=405096(+3/3) powerup=3h47m24s
SP3QBA-14;V3731069;2024-06-10 08:05:18;53.1794;16.4325;86;11;252;Clb=-3.0m/s p=979.8hPa t=14.5C h=57.2% 405.10MHz Type=RS41-SGP batt=2.7V powerup=3h47m23s rx=405100(+0/5)
SP3WXH-11;V3731069;2024-06-10 08:05:17;53.1794;16.4324;85;13;255;Clb=-2.9m/s p=979.6hPa t=14.5C h=56.9% 405.10MHz Type=RS41-SGP TxOff=7h06m batt=2.7V OG=77m dist=18.872 rx=405106(-3/3) powerup=3h47m22s
SP3QBA-14;V3731069;2024-06-10 08:05:16;53.1794;16.4324;83;13;258;Clb=-2.9m/s p=979.3hPa t=14.4C h=57.0% 405.10MHz Type=RS41-SGP powerup=3h47m21s rx=405100(+0/5)
SP3WXH-11;V3731069;2024-06-10 08:05:15;53.1794;16.4323;73;15;261;Clb=-3.4m/s p=978.9hPa t=14.5C h=57.0% 405.10MHz Type=RS41-SGP OG=83m dist=18.879 rx=405100(+1/3) powerup=3h47m20s
SP3QBA-14;V3731069;2024-06-10 08:05:14;53.1794;16.4322;80;15;265;Clb=-3.4m/s p=978.4hPa t=14.5C h=57.2% 405.10MHz Type=RS41-SGP TxOff=7h06m powerup=3h47m19s rx=405100(+0/5)
SP3WXH-11;V3731069;2024-06-10 08:05:13;53.1794;16.4322;68;15;268;Clb=-3.2m/s p=978.0hPa t=14.4C h=57.3% 405.10MHz Type=RS41-SGP OG=90m dist=18.886 rx=405104(-3/3) powerup=3h47m18s
SP3QBA-14;V3731069;2024-06-10 08:05:12;53.1794;16.4321;88;15;271;Clb=-3.0m/s p=977.8hPa t=14.4C h=57.5% 405.10MHz Type=RS41-SGP batt=2.7V powerup=3h47m17s rx=405100(+0/5)
SP3WXH-11;V3731069;2024-06-10 08:05:11;53.1794;16.4321;84;13;274;Clb=-2.6m/s p=977.3hPa t=14.4C h=57.6% 405.10MHz Type=RS41-SGP batt=2.7V OG=96m dist=18.894 rx=405100(+1/3) powerup=3h47m16s
