STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
SP3WRO-14;W1847253;2024-06-14 20:13:09;52.3696;15.3854;355;37;430;Clb=-1.7m/s p=965.9hPa t=16.1C h=52.0% 405.100MHz Type=RS41-SGP TxOff=6h41m rdzTTGOsonde
SP3WRO-14;W1847253;2024-06-14 20:12:42;52.3672;15.3861;356;41;480;Clb=-1.7m/s p=960.4hPa t=15.8C h=52.2% 405.100MHz Type=RS41-SGP TxOff=6h42m rdzTTGOsonde
DH2UAI-14;W1847253;2024-06-14 20:12:31;52.3662;15.3866;346;30;501;Clb=-1.8m/s 405.10MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1847253;2024-06-14 20:12:25;52.3657;15.3866;7;37;511;Clb=-2.0m/s 405.10MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SP3WRO-14;W1847253;2024-06-14 20:12:22;52.3655;15.3865;3;41;517;Clb=-1.7m/s p=956.2hPa t=15.6C h=51.0% 405.100MHz Type=RS41-SGP TxOff=6h42m rdzTTGOsonde
DH2UAI-14;W1847253;2024-06-14 20:12:20;52.3652;15.3866;356;41;521;Clb=-1.6m/s 405.10MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1847253;2024-06-14 20:12:15;52.3647;15.3867;345;30;529;Clb=-1.6m/s 405.10MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1847253;2024-06-14 20:12:10;52.3644;15.3868;360;30;538;Clb=-1.7m/s 405.10MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1847253;2024-06-14 20:12:05;52.364;15.3867;11;39;547;Clb=-1.7m/s 405.10MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SP3WRO-14;W1847253;2024-06-14 20:12:01;52.3636;15.3867;360;41;554;Clb=-1.7m/s p=952.1hPa t=15.3C h=49.4% 405.100MHz Type=RS41-SGP TxOff=6h42m rdzTTGOsonde
DH2UAI-14;W1847253;2024-06-14 20:11:55;52.363;15.3868;346;31;565;Clb=-1.6m/s 405.10MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1847253;2024-06-14 20:11:50;52.3627;15.3869;1;30;574;Clb=-1.7m/s 405.10MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SP3WRO-14;W1847253;2024-06-14 20:11:41;52.362;15.3868;10;35;588;Clb=-1.6m/s p=948.2hPa t=15.1C h=49.3% 405.100MHz Type=RS41-SGP TxOff=6h43m rdzTTGOsonde
VENIO2-14;W1847253;2024-06-14 20:11:31;52.361;15.3868;351;33;605;Clb=-1.6m/s p=946.2hPa t=14.9C h=50.5% 405.10MHz Type=RS41-SGP Patryk SP3PW http://radiosondy.info
SP3WRO-14;W1847253;2024-06-14 20:11:20;52.3602;15.3868;15;33;624;Clb=-1.7m/s p=944.4hPa t=14.8C h=49.8% 405.100MHz Type=RS41-SGP TxOff=6h43m rdzTTGOsonde
VENIO2-14;W1847253;2024-06-14 20:11:19;52.3601;15.3868;14;39;626;Clb=-1.9m/s p=944.0hPa t=14.7C h=50.9% 405.10MHz Type=RS41-SGP TxOff=6h42m Patryk SP3PW http://radiosondy.info
VENIO2-14;W1847253;2024-06-14 20:11:12;52.3594;15.3866;4;41;638;Clb=-1.8m/s p=942.8hPa t=14.6C h=51.0% 405.10MHz Type=RS41-SGP Patryk SP3PW http://radiosondy.info
VENIO2-14;W1847253;2024-06-14 20:11:07;52.3589;15.3867;354;39;647;Clb=-1.6m/s p=941.7hPa t=14.5C h=51.4% 405.10MHz Type=RS41-SGP batt=2.7V Patryk SP3PW http://radiosondy.info
