STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
SP3RC;W1240219;2024-06-19 16:17:51;51.8798;15.7192;141;17;162;Clb=-4.7m/s t=14.9C h=-1.0% p=-1.0hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
SP3RC;W1240219;2024-06-19 16:17:20;51.8799;15.7191;143;17;170;Clb=-4.3m/s t=14.9C h=-1.0% p=-1.0hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
DH2UAI-14;W1240219;2024-06-19 16:15:34;51.8855;15.7139;159;26;541;Clb=-3.5m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:15:29;51.8859;15.7137;165;26;557;Clb=-3.4m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:15:23;51.8862;15.7135;159;26;576;Clb=-2.8m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:15:18;51.8865;15.7133;161;26;594;Clb=-4.5m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SP3RC;W1240219;2024-06-19 16:15:15;51.8867;15.7132;156;24;602;Clb=-3.9m/s t=12.0C h=-1.0% p=-1.0hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
DH2UAI-14;W1240219;2024-06-19 16:15:13;51.8869;15.7131;161;26;613;Clb=-3.1m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:15:08;51.8872;15.7129;158;28;631;Clb=-3.3m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:15:03;51.8875;15.7128;162;28;649;Clb=-3.4m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:14:58;51.8878;15.7126;162;26;667;Clb=-3.0m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:14:53;51.8881;15.7124;159;26;682;Clb=-3.7m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:14:48;51.8884;15.7122;155;28;699;Clb=-2.9m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:14:43;51.8887;15.712;161;24;713;Clb=-2.7m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3KKR-14;W1240219;2024-06-19 16:14:17;51.8902;15.7111;160;22;789;Clb=-3.7m/s p=929.4hPa t=11.1C h=97.9% 402.300MHz Type=RS41-SGP TxOff=7h21m rdzTTGOsonde
SP3RC;W1240219;2024-06-19 16:14:13;51.8904;15.711;162;22;800;Clb=-2.9m/s t=11.0C h=-1.0% p=-1.0hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
SQ3KKR-14;W1240219;2024-06-19 16:13:56;51.8913;15.7104;157;22;855;Clb=-3.3m/s p=922.3hPa t=10.9C h=95.6% 402.300MHz Type=RS41-SGP TxOff=7h21m rdzTTGOsonde
SP3RC;W1240219;2024-06-19 16:13:42;51.892;15.71;157;20;902;Clb=-3.7m/s t=10.6C h=-1.0% p=-1.0hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
DH2UAI-14;W1240219;2024-06-19 16:13:38;51.8923;15.7098;157;20;919;Clb=-3.3m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3KKR-14;W1240219;2024-06-19 16:13:36;51.8923;15.7098;158;22;922;Clb=-3.8m/s p=915.0hPa t=10.6C h=94.6% 402.300MHz Type=RS41-SGP TxOff=7h22m rdzTTGOsonde
DH2UAI-14;W1240219;2024-06-19 16:13:33;51.8925;15.7097;152;20;936;Clb=-3.7m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:13:28;51.8927;15.7095;153;19;953;Clb=-3.4m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3RAX-15;W1240219;2024-06-19 16:13:25;51.8928;15.7094;151;19;960;Clb=-3.2m/s p=910.8hPa t=10.5C h=95.1% 402.300MHz Type=RS41-SGP TxOff=7h22m rdzTTGOsonde
DH2UAI-14;W1240219;2024-06-19 16:13:23;51.8929;15.7093;156;19;969;Clb=-3.4m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:13:18;51.8932;15.7092;158;20;986;Clb=-3.1m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3KKR-14;W1240219;2024-06-19 16:13:15;51.8932;15.7091;152;20;993;Clb=-4.1m/s p=907.1hPa t=10.3C h=96.2% 402.300MHz Type=RS41-SGP TxOff=7h22m rdzTTGOsonde
DH2UAI-14;W1240219;2024-06-19 16:13:13;51.8934;15.709;153;19;1005;Clb=-3.6m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SP3RC;W1240219;2024-06-19 16:13:11;51.8935;15.7089;148;19;1011;Clb=-3.2m/s t=10.1C h=-1.0% p=-1.0hPa 402.300 MHz Type=RS41 ser=W1240219 Radiosonde
DH2UAI-14;W1240219;2024-06-19 16:13:08;51.8936;15.7088;151;20;1021;Clb=-3.3m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3RAX-15;W1240219;2024-06-19 16:13:04;51.8937;15.7087;152;22;1031;Clb=-3.9m/s p=902.8hPa t=10.0C h=97.1% 402.300MHz Type=RS41-SGP TxOff=7h22m rdzTTGOsonde
DH2UAI-14;W1240219;2024-06-19 16:13:03;51.8938;15.7086;153;20;1040;Clb=-3.6m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:12:58;51.8941;15.7084;155;20;1056;Clb=-3.4m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3KNO-15;W1240219;2024-06-19 16:12:57;51.8941;15.7084;153;19;1059;Clb=-3.2m/s t=9.8C h=97.7% p=899.8hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
SQ3KKR-14;W1240219;2024-06-19 16:12:54;51.8942;15.7083;152;20;1066;Clb=-3.7m/s p=899.0hPa t=9.8C h=97.1% 402.300MHz Type=RS41-SGP rdzTTGOsonde
DH2UAI-14;W1240219;2024-06-19 16:12:53;51.8943;15.7082;155;20;1072;Clb=-3.4m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:12:48;51.8945;15.708;149;20;1090;Clb=-2.4m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3RAX-15;W1240219;2024-06-19 16:12:44;51.8946;15.7079;159;20;1099;Clb=-3.1m/s p=895.4hPa t=9.6C h=97.5% 402.300MHz Type=RS41-SGP rdzTTGOsonde
DH2UAI-14;W1240219;2024-06-19 16:12:43;51.8947;15.7078;154;20;1105;Clb=-3.2m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3KKR-14;W1240219;2024-06-19 16:12:33;51.8951;15.7074;149;20;1135;Clb=-3.2m/s p=891.9hPa t=9.4C h=98.2% 402.300MHz Type=RS41-SGP rdzTTGOsonde
SQ3KNO-15;W1240219;2024-06-19 16:12:26;51.8955;15.7072;155;20;1160;Clb=-3.2m/s t=9.2C h=98.5% p=889.0hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
SQ3RAX-15;W1240219;2024-06-19 16:12:23;51.8956;15.7071;155;19;1167;Clb=-2.9m/s p=888.2hPa t=9.2C h=98.5% 402.300MHz Type=RS41-SGP rdzTTGOsonde
SP3WRO-14;W1240219;2024-06-19 16:12:22;51.8956;15.7071;150;19;1170;Clb=-3.4m/s p=887.8hPa t=9.2C h=98.4% 402.300MHz Type=RS41-SGP TxOff=7h23m rdzTTGOsonde
SQ3RAX-15;W1240219;2024-06-19 16:12:03;51.8965;15.7063;156;19;1231;Clb=-3.2m/s p=881.3hPa t=8.8C h=99.4% 402.300MHz Type=RS41-SGP TxOff=7h24m rdzTTGOsonde
HARRA2-14;W1240219;2024-06-19 16:12:02;51.8965;15.7063;152;20;1234;Clb=-3.1m/s p=880.9hPa t=8.8C 402.30MHz Type=RS41-SGP Szczegoly na http://radiosondy.info
SP3WRO-14;W1240219;2024-06-19 16:12:01;51.8966;15.7063;151;20;1237;Clb=-3.4m/s p=880.6hPa t=8.8C h=98.8% 402.300MHz Type=RS41-SGP TxOff=7h24m rdzTTGOsonde
HARRA2-14;W1240219;2024-06-19 16:11:57;51.8967;15.7061;150;20;1252;Clb=-4.3m/s p=879.0hPa t=8.7C 402.30MHz Type=RS41-SGP batt=2.7V Szczegoly na http://radiosondy.info
SQ3KNO-15;W1240219;2024-06-19 16:11:55;51.8969;15.706;145;20;1264;Clb=-3.8m/s t=8.7C h=99.4% p=877.9hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
HARRA2-14;W1240219;2024-06-19 16:11:52;51.897;15.7059;151;20;1271;Clb=-3.2m/s p=876.9hPa t=8.6C 402.30MHz Type=RS41-SGP Szczegoly na http://radiosondy.info
HARRA2-14;W1240219;2024-06-19 16:11:44;51.8973;15.7056;151;20;1298;Clb=-3.7m/s p=874.0hPa t=8.4C 402.30MHz Type=RS41-SGP Szczegoly na http://radiosondy.info
SQ3RAX-15;W1240219;2024-06-19 16:11:42;51.8974;15.7055;148;22;1305;Clb=-3.2m/s p=873.5hPa t=8.4C h=100.2% 402.300MHz Type=RS41-SGP TxOff=7h24m rdzTTGOsonde
SP3WRO-14;W1240219;2024-06-19 16:11:41;51.8974;15.7054;152;24;1308;Clb=-2.8m/s p=873.2hPa t=8.4C h=100.4% 402.300MHz Type=RS41-SGP TxOff=7h24m rdzTTGOsonde
DH2UAI-14;W1240219;2024-06-19 16:11:38;51.8976;15.7052;145;22;1321;Clb=-3.4m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
HARRA2-14;W1240219;2024-06-19 16:11:36;51.8977;15.7052;148;24;1325;Clb=-4.2m/s p=871.2hPa t=8.3C 402.30MHz Type=RS41-SGP batt=2.7V Szczegoly na http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:11:33;51.8979;15.705;144;22;1339;Clb=-3.4m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:11:28;51.8981;15.7048;153;24;1355;Clb=-3.1m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
HARRA2-14;W1240219;2024-06-19 16:11:27;51.8981;15.7048;153;26;1355;Clb=-3.1m/s p=868.2hPa t=8.1C 402.30MHz Type=RS41-SGP Szczegoly na http://radiosondy.info
SQ3KNO-15;W1240219;2024-06-19 16:11:24;51.8983;15.7046;152;24;1370;Clb=-4.1m/s t=8.1C h=100.0% p=866.5hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
DH2UAI-14;W1240219;2024-06-19 16:11:23;51.8984;15.7045;157;24;1374;Clb=-4.5m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3RAX-15;W1240219;2024-06-19 16:11:22;51.8984;15.7045;157;24;1374;Clb=-4.5m/s p=866.0hPa t=8.1C h=101.0% 402.300MHz Type=RS41-SGP TxOff=7h24m rdzTTGOsonde
HARRA2-14;W1240219;2024-06-19 16:11:21;51.8984;15.7045;156;24;1378;Clb=-2.6m/s p=865.6hPa t=8.0C 402.30MHz Type=RS41-SGP Szczegoly na http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:11:18;51.8986;15.7043;147;22;1392;Clb=-3.5m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
HARRA2-14;W1240219;2024-06-19 16:11:15;51.8987;15.7042;149;22;1400;Clb=-4.0m/s p=863.3hPa t=7.9C 402.30MHz Type=RS41-SGP TxOff=7h24m batt=2.7V Szczegoly na http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:11:13;51.8989;15.7041;149;22;1411;Clb=-3.6m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
HARRA2-14;W1240219;2024-06-19 16:11:10;51.899;15.704;149;22;1418;Clb=-3.3m/s p=861.5hPa t=7.8C 402.30MHz Type=RS41-SGP Szczegoly na http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:11:08;51.8991;15.7038;156;22;1428;Clb=-3.6m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:11:03;51.8994;15.7036;151;20;1443;Clb=-4.2m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3RAX-15;W1240219;2024-06-19 16:11:01;51.8994;15.7036;153;22;1447;Clb=-3.9m/s p=858.5hPa t=7.8C h=102.0% 402.300MHz Type=RS41-SGP TxOff=7h25m rdzTTGOsonde
SP3WRO-14;W1240219;2024-06-19 16:11:00;51.8994;15.7035;152;20;1451;Clb=-3.7m/s p=858.1hPa t=7.7C h=101.4% 402.300MHz Type=RS41-SGP TxOff=7h25m rdzTTGOsonde
DH2UAI-14;W1240219;2024-06-19 16:10:58;51.8996;15.7034;140;22;1461;Clb=-3.2m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3KNO-15;W1240219;2024-06-19 16:10:53;51.8998;15.7031;139;19;1477;Clb=-3.3m/s t=7.6C h=100.0% p=855.3hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
DH2UAI-14;W1240219;2024-06-19 16:10:48;51.9;15.7029;141;22;1496;Clb=-3.9m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
DH2UAI-14;W1240219;2024-06-19 16:10:43;51.9002;15.7026;139;26;1514;Clb=-3.4m/s 402.30MHz Type=RS41 BK=Off Details zu http://radiosondy.info
SQ3RAX-15;W1240219;2024-06-19 16:10:41;51.9002;15.7025;138;20;1518;Clb=-3.6m/s p=851.1hPa t=7.4C h=100.6% 402.300MHz Type=RS41-SGP TxOff=7h25m rdzTTGOsonde
SP3WRO-14;W1240219;2024-06-19 16:10:39;51.9003;15.7024;135;22;1525;Clb=-4.0m/s p=850.4hPa t=7.4C h=100.2% 402.300MHz Type=RS41-SGP TxOff=7h25m rdzTTGOsonde
EDDB2-11;W1240219;2024-06-19 16:10:30;51.9008;15.7014;128;24;1573;Clb=-3.7m/s t=7.3C h=98.7% p=845.5hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
SQ3KNO-15;W1240219;2024-06-19 16:10:22;51.901;15.7011;128;22;1587;Clb=-3.7m/s t=7.2C h=98.5% p=844.1hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
SQ3RAX-15;W1240219;2024-06-19 16:10:21;51.901;15.7011;129;22;1587;Clb=-3.7m/s p=844.1hPa t=7.2C h=98.5% 402.300MHz Type=RS41-SGP TxOff=7h26m rdzTTGOsonde
SP3WRO-14;W1240219;2024-06-19 16:10:19;51.9011;15.701;126;24;1594;Clb=-2.8m/s p=843.3hPa t=7.2C h=98.5% 402.300MHz Type=RS41-SGP TxOff=7h26m rdzTTGOsonde
SQ3KKR-14;W1240219;2024-06-19 16:10:18;51.9011;15.7009;128;24;1597;Clb=-3.3m/s p=843.1hPa t=7.2C h=98.3% 402.300MHz Type=RS41-SGP rdzTTGOsonde
SQ3H-17;W1240219;2024-06-19 16:10:12;51.9013;15.7003;120;20;1622;Clb=-4.5m/s t=7.1C h=97.6% p=840.5hPa 402.300 MHz Type=RS41-SGP ser=W1240219 Radiosonde
SP3WRO-14;W1240219;2024-06-19 16:10:02;51.9017;15.6994;122;26;1665;Clb=-3.9m/s p=836.1hPa t=6.8C h=96.3% 402.300MHz Type=RS41-SGP TxOff=7h26m rdzTTGOsonde
SQ3RAX-15;W1240219;2024-06-19 16:09:59;51.9017;15.6994;122;26;1665;Clb=-3.9m/s p=836.1hPa t=6.8C h=96.3% 402.300MHz Type=RS41-SGP TxOff=7h26m rdzTTGOsonde
