STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
sp3qdx-13;MEB101243;2024-06-16 13:44:28;51.7162;17.0094;4;11;788;Clb=-7.7m/s 403.000MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP3RC;MEB101243;2024-06-16 13:44:26;51.7157;17.0095;15;7;889;Clb=-8.7m/s t=15.3C h=72.7% p=915.2hPa 403.003 MHz Type=M20 ser=402-2-01243 Radiosonde
SP6V-20;MEB101243;2024-06-16 13:44:10;51.7156;17.0095;350;7;934;Clb=-8.1m/s 403.004MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
sp3qdx-13;MEB101243;2024-06-16 13:44:06;51.7156;17.0095;317;4;958;Clb=-7.3m/s 403.000MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP6V-20;MEB101243;2024-06-16 13:43:28;51.7152;17.0088;60;13;1285;Clb=-7.6m/s 403.004MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
sp3qdx-13;MEB101243;2024-06-16 13:43:26;51.7151;17.0088;72;9;1294;Clb=-9.1m/s 403.000MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
LUDWIK-14;MEB101243;2024-06-16 13:43:21;51.715;17.0082;70;15;1403;Clb=-9.0m/s t=10.8C h=81.2% p=861.0hPa 403.004 MHz Type=M20 ser=402-2-01243 Radiosonde
SQ3H-17;MEB101243;2024-06-16 13:43:09;51.7149;17.008;69;13;1444;Clb=-6.5m/s t=10.3C h=82.0% p=856.8hPa 403.004 MHz Type=M20 ser=402-2-01243 Radiosonde
SP3WRO-14;MEB101243;2024-06-16 13:43:06;51.7149;17.0079;65;17;1460;Clb=-7.1m/s 403.005MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP6V-20;MEB101243;2024-06-16 13:43:05;51.7149;17.0078;73;15;1469;Clb=-10.1m/s 403.004MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
LUDWIK-14;MEB101243;2024-06-16 13:42:50;51.7146;17.007;73;17;1604;Clb=-8.5m/s t=8.8C h=86.3% p=840.2hPa 403.004 MHz Type=M20 ser=402-2-01243 Radiosonde
SP6V-20;MEB101243;2024-06-16 13:42:45;51.7146;17.0067;55;15;1647;Clb=-9.7m/s 403.004MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP3WRO-14;MEB101243;2024-06-16 13:42:42;51.7145;17.0065;60;17;1672;Clb=-8.9m/s 403.005MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP3RC;MEB101243;2024-06-16 13:42:41;51.7145;17.0064;69;17;1681;Clb=-9.9m/s t=8.1C h=87.0% p=832.2hPa 403.003 MHz Type=M20 ser=402-2-01243 Radiosonde
SQ3RAX-15;MEB101243;2024-06-16 13:42:39;51.7145;17.0063;76;20;1701;Clb=-11.2m/s 403.000MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SQ3H-17;MEB101243;2024-06-16 13:42:37;51.7145;17.0062;51;11;1722;Clb=-9.8m/s t=7.7C h=88.2% p=828.1hPa 403.004 MHz Type=M20 ser=402-2-01243 Radiosonde
sp3qdx-13;MEB101243;2024-06-16 13:42:25;51.7143;17.0056;70;13;1837;Clb=-7.6m/s 403.000MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP6V-20;MEB101243;2024-06-16 13:42:23;51.7142;17.0055;66;13;1854;Clb=-9.9m/s 403.004MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP3WRO-14;MEB101243;2024-06-16 13:42:22;51.7142;17.0054;74;13;1864;Clb=-10.4m/s 403.005MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP3QBA-14;MEB101243;2024-06-16 13:42:20;51.7142;17.0053;67;17;1886;Clb=-8.0m/s 403.002MHz Type=M20 ser=402-2-01243 rx=403000(+2/8)
LUDWIK-14;MEB101243;2024-06-16 13:42:19;51.7142;17.0053;70;13;1895;Clb=-9.9m/s t=6.3C h=88.0% p=811.0hPa 403.004 MHz Type=M20 ser=402-2-01243 Radiosonde
SQ3RAX-15;MEB101243;2024-06-16 13:42:17;51.7142;17.0052;65;13;1913;Clb=-7.5m/s 403.000MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP3QBA-14;MEB101243;2024-06-16 13:42:12;51.7141;17.0049;77;17;1960;Clb=-9.0m/s 403.002MHz Type=M20 ser=402-2-01243 rx=403000(+2/8)
SP3RC;MEB101243;2024-06-16 13:42:10;51.7141;17.0048;71;15;1981;Clb=-8.7m/s t=5.5C h=83.1% p=802.6hPa 403.003 MHz Type=M20 ser=402-2-01243 Radiosonde
SP3QBA-14;MEB101243;2024-06-16 13:42:09;51.7141;17.0047;69;17;1990;Clb=-8.8m/s 403.002MHz Type=M20 ser=402-2-01243 rx=403000(+2/8)
SQ3H-17;MEB101243;2024-06-16 13:42:06;51.7141;17.0045;93;7;2021;Clb=-9.7m/s t=5.1C h=83.3% p=798.7hPa 403.004 MHz Type=M20 ser=402-2-01243 Radiosonde
SP6V-20;MEB101243;2024-06-16 13:42:02;51.714;17.0043;68;13;2063;Clb=-8.2m/s 403.004MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP3WRO-14;MEB101243;2024-06-16 13:42:01;51.714;17.0042;64;17;2073;Clb=-10.1m/s 403.005MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SQ3RAX-15;MEB101243;2024-06-16 13:41:56;51.7139;17.0039;74;15;2122;Clb=-6.9m/s 403.000MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
LUDWIK-14;MEB101243;2024-06-16 13:41:48;51.7138;17.0035;77;15;2204;Clb=-8.9m/s t=3.5C h=81.9% p=781.5hPa 403.005 MHz Type=M20 ser=402-2-01243 Radiosonde
SP6V-20;MEB101243;2024-06-16 13:41:42;51.7138;17.003;71;24;2254;Clb=-7.6m/s 403.004MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP3WRO-14;MEB101243;2024-06-16 13:41:40;51.7137;17.0029;73;19;2270;Clb=-7.1m/s 403.005MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP3RC;MEB101243;2024-06-16 13:41:39;51.7137;17.0028;79;17;2277;Clb=-6.6m/s t=2.7C h=78.5% p=774.0hPa 403.003 MHz Type=M20 ser=402-2-01243 Radiosonde
SQ3H-17;MEB101243;2024-06-16 13:41:35;51.7137;17.0025;89;20;2315;Clb=-8.7m/s t=2.0C h=75.4% p=770.4hPa 403.004 MHz Type=M20 ser=402-2-01243 Radiosonde
SQ3RAX-15;MEB101243;2024-06-16 13:41:33;51.7137;17.0023;69;20;2334;Clb=-9.6m/s 403.000MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP6V-20;MEB101243;2024-06-16 13:41:22;51.7133;17.0016;38;24;2431;Clb=-10.7m/s 403.004MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SP3WRO-14;MEB101243;2024-06-16 13:41:20;51.7132;17.0014;44;22;2449;Clb=-6.9m/s 403.005MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
sp3qdx-13;MEB101243;2024-06-16 13:41:19;51.7132;17.0014;55;26;2458;Clb=-8.4m/s 403.000MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
LUDWIK-14;MEB101243;2024-06-16 13:41:17;51.7131;17.0012;50;20;2474;Clb=-6.2m/s t=1.6C h=73.2% p=755.2hPa 403.004 MHz Type=M20 ser=402-2-01243 Radiosonde
SP3RC;MEB101243;2024-06-16 13:41:08;51.7128;17.0006;68;20;2546;Clb=-6.2m/s t=3.6C h=46.3% p=748.4hPa 403.003 MHz Type=M20 ser=402-2-01243 Radiosonde
SQ3H-17;MEB101243;2024-06-16 13:41:04;51.7128;17.0001;64;28;2581;Clb=-4.6m/s t=3.7C h=43.2% p=745.0hPa 403.004 MHz Type=M20 ser=402-2-01243 Radiosonde
SP6V-20;MEB101243;2024-06-16 13:41:01;51.7127;17;67;20;2598;Clb=-7.7m/s 403.004MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SQ3RAX-15;MEB101243;2024-06-16 13:41:00;51.7127;16.9999;69;28;2605;Clb=-6.4m/s 403.000MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
sp3qdx-13;MEB101243;2024-06-16 13:40:59;51.7127;16.9998;65;24;2613;Clb=-7.1m/s 403.000MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
SQ3KNL-15;MEB101243;2024-06-16 13:40:55;51.7126;16.9994;62;26;2641;Clb=-6.8m/s 403.005MHz Type=M20  ser=402-2-01243 rdzTTGOsonde
