STATION;SONDE;DateTime;Latitude;Longitude;Course;Speed;Altitude;Description
SP3IZN;V1021069;2024-01-06 13:52:34;52.2878;17.1575;249;26;132;Clb=-4.2m/s p=1001.0hPa t=-1.9C h=80.8% 405.100MHz Type=RS41-SGP TxOff=7h15m rdzTTGOsonde
SP3BTT-11;V1021069;2024-01-06 13:52:33;52.2878;17.1578;254;31;140;Clb=-3.8m/s p=1000.0hPa t=-2.0C h=83.2% 405.10MHz Type=RS41-SGP batt=2.7V OG=23m FN=13033 dist=28.737 powerup=3h37m13s rx=405100(+1/5)
SP3BTT-11;V1021069;2024-01-06 13:52:32;52.2878;17.1579;254;31;144;Clb=-4.1m/s p=999.6hPa t=-2.1C h=83.4% 405.10MHz Type=RS41-SGP OG=27m FN=13032 dist=28.740 powerup=3h37m12s rx=405100(+1/5)
SP3BTT-11;V1021069;2024-01-06 13:52:31;52.2878;17.158;255;33;148;Clb=-4.0m/s p=999.2hPa t=-2.1C h=83.4% 405.10MHz Type=RS41-SGP OG=31m FN=13031 dist=28.744 powerup=3h37m11s rx=405100(+1/5)
SP3BTT-11;V1021069;2024-01-06 13:52:29;52.2879;17.1583;245;37;155;Clb=-3.1m/s p=998.1hPa t=-2.2C h=84.4% 405.10MHz Type=RS41-SGP batt=2.7V OG=39m FN=13029 dist=28.750 powerup=3h37m09s rx=405100(+1/5)
SP3IZN;V1021069;2024-01-06 13:52:28;52.2879;17.1583;245;37;155;Clb=-3.2m/s p=998.2hPa t=-2.3C h=81.3% 405.100MHz Type=RS41-SGP TxOff=7h15m rdzTTGOsonde
SP3BTT-11;V1021069;2024-01-06 13:52:27;52.288;17.1585;238;31;161;Clb=-3.3m/s p=997.4hPa t=-2.3C h=85.0% 405.10MHz Type=RS41-SGP OG=46m FN=13027 dist=28.754 powerup=3h37m07s rx=405100(+1/5)
SP3BTT-11;V1021069;2024-01-06 13:52:26;52.288;17.1586;237;28;164;Clb=-3.2m/s p=996.9hPa t=-2.3C h=85.1% 405.10MHz Type=RS41-SGP batt=2.7V OG=49m FN=13026 dist=28.755 powerup=3h37m06s rx=405100(+1/5)
SP3BTT-11;V1021069;2024-01-06 13:52:25;52.2881;17.1587;240;26;167;Clb=-3.0m/s p=996.6hPa t=-2.4C h=85.4% 405.10MHz Type=RS41-SGP TxOff=7h15m OG=52m FN=13025 dist=28.756 powerup=3h37m05s rx=405100(+1/5)
SP3BTT-11;V1021069;2024-01-06 13:52:23;52.2881;17.1589;246;24;174;Clb=-3.7m/s p=996.0hPa t=-2.5C h=85.5% 405.10MHz Type=RS41-SGP OG=58m FN=13023 dist=28.760 powerup=3h37m03s rx=405100(+1/5)
SP3BTT-11;V1021069;2024-01-06 13:52:22;52.2881;17.159;251;24;178;Clb=-4.4m/s p=995.4hPa t=-2.5C h=85.4% 405.10MHz Type=RS41-SGP batt=2.7V OG=61m FN=13022 dist=28.762 powerup=3h37m02s rx=405100(+1/5)
SP3BTT-11;V1021069;2024-01-06 13:52:21;52.2882;17.1591;258;24;181;Clb=-4.1m/s p=994.8hPa t=-2.5C h=85.7% 405.10MHz Type=RS41-SGP OG=65m FN=13021 dist=28.764 powerup=3h37m01s rx=405100(+1/5)
SP3BTT-11;V1021069;2024-01-06 13:52:20;52.2882;17.1592;261;30;185;Clb=-4.0m/s p=994.4hPa t=-2.6C h=85.9% 405.10MHz Type=RS41-SGP OG=68m FN=13020 dist=28.767 powerup=3h37m00s rx=405100(+1/5)
